vehicle_type,service_type,vehicle_age,kilometers_driven,fuel_type,engine_type,previous_services,actual_cost
Bike,General,6,38404,Petrol,Manual,11,1020
SUV,Repair,5,76631,Diesel,Automatic,8,26740
Scooty,Major,2,11662,Petrol,Automatic,3,1730
Bike,Major,1,9261,Petrol,Manual,1,2040
Bike,General,2,12222,Petrol,Manual,3,890
Electric Scooter,General,2,16990,EV,Automatic,3,590
Car,Repair,5,65151,Hybrid,Manual,8,13030
Car,General,6,71345,Diesel,Manual,10,4910
Car,Major,3,30562,Diesel,Automatic,4,18830
SUV,General,3,42076,Hybrid,Manual,3,5840
Car,General,8,88340,Petrol,Automatic,13,5870
SUV,General,12,231906,Diesel,Automatic,23,12960
Electric Scooter,Major,3,14574,EV,Automatic,4,1490
Car,Major,6,52162,Hybrid,Automatic,9,15830
SUV,General,5,91806,Petrol,Manual,7,8210
Car,General,9,86031,Petrol,Manual,14,4530
SUV,General,7,134278,Diesel,Manual,13,7740
Bike,General,5,33542,Petrol,Manual,6,680
Bike,General,8,47380,Petrol,Manual,12,1210
SUV,General,12,172598,Diesel,Automatic,18,12180
Scooty,Major,7,32377,Petrol,Automatic,9,1250
Car,General,1,8303,Diesel,Automatic,1,6190
Bike,General,6,56987,Petrol,Manual,11,830
Bike,General,2,16396,Petrol,Manual,2,540
Scooty,General,6,33307,Petrol,Automatic,7,890
Bike,General,4,36588,Petrol,Manual,7,1000
Car,Repair,3,33399,Hybrid,Automatic,4,12640
Car,General,3,44435,Diesel,Automatic,4,6110
SUV,General,9,130337,Hybrid,Manual,14,6870
SUV,General,5,90655,Diesel,Automatic,7,9080
SUV,Repair,9,95600,Diesel,Automatic,14,34620
Electric Scooter,General,1,5927,EV,Automatic,1,540
SUV,General,3,59430,Petrol,Manual,5,7910
Bike,Repair,4,27915,Petrol,Manual,4,3010
Car,Major,4,61586,Petrol,Automatic,6,14080
SUV,General,8,152397,Petrol,Automatic,15,7400
Electric Scooter,Repair,1,9484,EV,Automatic,1,1650
Scooty,General,5,27924,Petrol,Automatic,9,860
SUV,Major,8,127461,Diesel,Manual,13,28740
Scooty,Major,3,15370,Petrol,Automatic,5,1330
SUV,Major,3,50172,Petrol,Manual,5,20510
Bike,General,8,67056,Petrol,Manual,15,1060
Bike,Major,12,60395,Petrol,Automatic,20,2900
Bike,General,13,90002,Petrol,Manual,20,1330
Car,Repair,7,71326,Petrol,Manual,9,13760
Bike,General,8,61378,Petrol,Automatic,15,680
Car,Major,2,18536,EV,Automatic,2,7470
SUV,Major,9,121517,Diesel,Automatic,16,33210
Bike,General,10,65136,Petrol,Manual,14,1260
Car,General,8,69222,Petrol,Automatic,15,5170
SUV,Major,3,47711,Diesel,Automatic,3,19120
SUV,General,5,67987,Petrol,Automatic,9,9200
SUV,Major,6,67669,Petrol,Automatic,9,26530
Car,General,5,43352,Diesel,Manual,9,4830
Car,General,3,51708,Hybrid,Manual,4,3380
SUV,Major,1,14960,Petrol,Automatic,1,15580
Car,Major,5,46111,EV,Automatic,9,11510
SUV,Major,1,16136,Petrol,Automatic,1,14930
Car,Repair,4,55206,Petrol,Automatic,5,16380
Electric Bike,Major,0,500,EV,Automatic,0,1440
Bike,Major,7,63713,Petrol,Manual,13,1980
Car,Major,5,49495,EV,Automatic,9,11780
SUV,General,8,87453,Diesel,Manual,10,9780
Car,Repair,7,71310,Petrol,Manual,9,11130
Car,Major,4,44114,Petrol,Automatic,6,10540
Electric Scooter,General,2,16434,EV,Automatic,3,740
Car,General,5,48592,Diesel,Automatic,9,7530
Scooty,General,2,10416,Petrol,Automatic,2,670
SUV,General,9,176693,Hybrid,Automatic,11,7740
SUV,General,5,98974,Petrol,Manual,9,7920
Car,General,10,83792,Diesel,Manual,17,7270
Electric Scooter,Major,3,23218,EV,Automatic,4,1450
Car,General,3,46881,Diesel,Manual,4,5350
Scooty,Major,1,5886,Petrol,Automatic,1,1110
Car,General,4,61161,Petrol,Manual,5,4130
Scooty,General,6,38383,Petrol,Automatic,8,1000
Bike,General,4,35020,Petrol,Automatic,7,570
Bike,Repair,9,84596,Petrol,Manual,11,4660
Car,General,11,133951,Petrol,Manual,20,3850
Car,General,10,135135,Diesel,Manual,17,5430
SUV,General,4,52858,EV,Automatic,6,4710
Car,General,3,30931,Petrol,Automatic,4,5810
Bike,General,12,64546,Petrol,Manual,21,1300
Bike,General,6,34722,Petrol,Manual,10,990
Bike,General,7,40378,Petrol,Manual,8,1150
SUV,General,10,98965,Diesel,Automatic,19,10120
SUV,General,3,40415,Diesel,Manual,5,8040
SUV,Repair,4,64361,Diesel,Manual,7,19720
Bike,General,9,80091,Petrol,Manual,13,1300
Car,Major,10,131498,Petrol,Automatic,19,14500
Car,Major,4,32560,Petrol,Manual,6,10560
Electric Scooter,Repair,2,11515,EV,Automatic,3,1200
Car,General,11,109018,Petrol,Manual,15,6030
Bike,Major,4,37889,Petrol,Manual,7,1980
Car,General,5,72586,Petrol,Manual,7,3500
Bike,Major,3,27223,Petrol,Manual,4,2670
Car,General,13,198259,Petrol,Manual,15,4760
SUV,Repair,9,154459,Diesel,Manual,11,37550
Car,General,4,59384,Petrol,Manual,7,3790
Bike,General,1,8681,Petrol,Manual,1,680
Bike,General,8,43311,Petrol,Manual,10,1180
Car,Major,4,65690,Diesel,Manual,7,14830
Scooty,Repair,5,32184,Petrol,Automatic,8,1680
Car,General,8,79882,Diesel,Manual,10,4920
SUV,Major,3,40170,Petrol,Automatic,4,20970
Bike,Major,12,84264,Petrol,Manual,15,4080
Electric Scooter,General,2,14712,EV,Automatic,2,460
SUV,General,4,46450,Petrol,Manual,5,7080
Scooty,Major,4,28130,Petrol,Automatic,5,1080
SUV,Major,5,79764,Petrol,Manual,9,15160
Car,General,4,66721,Diesel,Manual,5,4750
SUV,Repair,9,101460,Diesel,Manual,17,33430
Bike,Major,9,50782,Petrol,Automatic,14,3440
Electric Bike,Repair,0,1878,EV,Automatic,0,1550
Bike,General,4,19507,Petrol,Manual,4,800
Electric Bike,General,4,24594,EV,Automatic,7,530
SUV,Major,5,95564,Diesel,Automatic,8,24750
SUV,General,4,76750,Diesel,Manual,5,11620
Car,General,11,178401,Petrol,Automatic,17,5540
Car,General,7,93282,Petrol,Automatic,11,5670
Electric Scooter,Major,3,16480,EV,Automatic,5,1120
Scooty,Repair,9,44333,Petrol,Automatic,14,2350
SUV,General,6,109414,Hybrid,Manual,10,9980
Bike,Major,9,61947,Petrol,Manual,12,3800
Car,General,5,76936,Petrol,Manual,7,4760
Scooty,General,8,35346,Petrol,Automatic,13,840
Car,Major,5,37686,Petrol,Manual,7,8370
Electric Bike,Major,2,14056,EV,Automatic,2,1470
Bike,General,10,69878,Petrol,Manual,18,1180
SUV,Repair,3,53525,Diesel,Manual,4,28150
Car,Major,1,12357,Petrol,Automatic,1,12970
Car,Repair,5,50780,Petrol,Manual,8,16270
Electric Scooter,General,1,8571,EV,Automatic,1,660
SUV,General,10,134056,Diesel,Automatic,17,11580
SUV,General,4,56222,Diesel,Manual,7,8520
SUV,Major,7,75039,Diesel,Automatic,8,28220
Car,Repair,4,47816,Petrol,Manual,5,13950
Bike,General,9,67206,Petrol,Manual,12,1300
Bike,General,4,25798,Petrol,Manual,5,870
Scooty,General,5,31621,Petrol,Automatic,7,800
Bike,Repair,11,73306,Petrol,Manual,16,6120
Car,General,6,79641,Petrol,Automatic,9,6350
Electric Scooter,Major,2,13879,EV,Automatic,2,1010
SUV,Repair,2,39145,Petrol,Automatic,2,15600
SUV,General,7,100338,Diesel,Automatic,9,9460
Bike,General,3,22727,Petrol,Manual,4,720
Scooty,General,5,40591,Petrol,Automatic,7,780
Car,Major,0,1880,Petrol,Manual,0,6990
Scooty,General,5,21921,Petrol,Automatic,9,890
Bike,General,2,11422,Petrol,Manual,3,1030
Car,General,8,123821,Petrol,Manual,11,3550
Electric Scooter,Repair,3,24762,EV,Automatic,4,1230
Car,General,8,78779,Petrol,Manual,11,4090
Car,Major,2,19845,Petrol,Automatic,3,13780
Bike,General,9,45574,Petrol,Automatic,17,890
Scooty,General,8,55821,Petrol,Automatic,11,660
SUV,General,8,101442,Diesel,Automatic,15,11870
Car,Major,11,137028,Petrol,Manual,19,14400
SUV,General,8,122604,Diesel,Manual,12,7940
Electric Bike,General,3,27790,EV,Automatic,4,610
Car,Major,11,107101,Petrol,Automatic,20,16290
Car,General,2,25870,Petrol,Manual,3,4190
Bike,General,6,36346,Petrol,Manual,8,570
Car,General,4,57171,EV,Automatic,7,4020
Car,Major,1,16095,EV,Automatic,1,8310
Bike,Major,5,48363,Petrol,Manual,7,2130
Car,General,7,87367,Diesel,Automatic,13,5960
SUV,General,2,43826,Petrol,Automatic,3,7430
Car,General,3,44958,Diesel,Automatic,4,4990
Car,General,11,138757,Petrol,Manual,13,5250
Electric Scooter,General,2,11409,EV,Automatic,3,730
SUV,General,8,96091,Diesel,Automatic,13,12390
Car,General,11,135413,Petrol,Manual,20,3620
Scooty,General,2,17479,Petrol,Automatic,2,760
Car,Major,12,193845,Diesel,Automatic,18,18830
Scooty,General,4,27508,Petrol,Automatic,7,490
Car,Repair,5,49307,Diesel,Manual,9,20090
Bike,General,5,28916,Petrol,Manual,8,860
SUV,General,4,68120,Petrol,Automatic,5,5950
SUV,General,7,111216,Diesel,Manual,10,7210
Scooty,Major,12,65951,Petrol,Automatic,18,2270
Car,General,4,49323,EV,Automatic,7,3460
Scooty,Major,4,29613,Petrol,Automatic,5,1410
Car,Major,3,45490,Petrol,Manual,5,8000
Scooty,Major,4,25868,Petrol,Automatic,6,1210
Car,Major,0,800,Petrol,Manual,0,11220
SUV,General,12,140723,Diesel,Manual,18,12060
Car,Repair,11,93273,Diesel,Manual,18,23290
Bike,General,8,46243,Petrol,Manual,14,870
Bike,General,11,108041,Petrol,Automatic,21,1130
Car,General,2,31680,Petrol,Manual,2,4010
Car,General,6,81420,Petrol,Manual,7,4200
Car,General,5,45660,Petrol,Manual,6,5260
Bike,Major,3,25602,Petrol,Manual,4,2550
Electric Bike,General,2,17441,EV,Automatic,2,490
Car,Repair,1,9171,Petrol,Manual,1,9120
Car,General,6,80316,EV,Automatic,11,3880
Car,General,6,76986,Petrol,Automatic,10,5190
Scooty,Major,5,34031,Petrol,Automatic,8,2300
SUV,General,10,176392,Petrol,Manual,14,7110
Bike,General,3,24628,Petrol,Manual,3,810
Car,General,4,45745,Petrol,Manual,7,4660
SUV,Major,5,63069,Diesel,Automatic,6,30040
Car,General,6,81003,Petrol,Manual,7,5470
Scooty,General,3,14229,Petrol,Automatic,4,740
Bike,General,2,17072,Petrol,Manual,3,630
Car,Major,7,101046,Petrol,Manual,10,10080
Bike,General,3,27146,Petrol,Manual,5,1280
Bike,Repair,7,59492,Petrol,Manual,9,2530
Car,Major,7,95380,Diesel,Manual,12,15720
Bike,Major,12,104256,Petrol,Manual,19,4100
Bike,General,6,56736,Petrol,Manual,9,710
Scooty,General,9,42790,Petrol,Automatic,15,600
Scooty,General,7,33050,Petrol,Automatic,13,820
Bike,Repair,3,19627,Petrol,Manual,5,1790
SUV,General,8,126891,Diesel,Manual,12,11640
Bike,General,3,24916,Petrol,Manual,5,1210
Car,General,6,88812,Petrol,Manual,10,3560
Bike,General,4,38083,Petrol,Manual,4,580
SUV,General,13,159305,Petrol,Automatic,20,10630
SUV,Major,11,124345,Diesel,Automatic,16,34210
Car,Major,6,55401,EV,Automatic,9,11200
SUV,Major,3,38926,Petrol,Automatic,4,21150
SUV,Major,8,155750,Petrol,Automatic,11,23900
SUV,General,10,108243,Petrol,Manual,13,8600
Car,General,7,101895,Petrol,Automatic,9,4290
SUV,General,7,133624,Diesel,Automatic,13,10810
SUV,Repair,0,2650,Diesel,Manual,0,13590
SUV,Repair,3,43114,Diesel,Automatic,5,26720
SUV,Repair,3,48949,Diesel,Automatic,3,18690
Car,General,9,114612,Diesel,Automatic,15,7050
SUV,Repair,8,151545,Diesel,Manual,13,26130
Bike,General,10,92066,Petrol,Manual,17,780
Car,Repair,3,31098,Petrol,Manual,3,13730
SUV,Major,2,27759,Diesel,Automatic,3,26410
Car,General,6,96263,Petrol,Automatic,10,4630
Car,General,6,58616,EV,Automatic,9,4510
SUV,General,10,162686,Diesel,Manual,13,8120
Car,General,6,82934,EV,Automatic,7,4150
Scooty,Repair,4,30826,Petrol,Automatic,5,1630
SUV,Major,2,38880,Petrol,Manual,3,17150
Bike,General,11,62475,Petrol,Automatic,16,1210
Scooty,General,9,46168,Petrol,Automatic,17,960
SUV,General,8,97272,Diesel,Manual,14,8250
Scooty,Major,2,11093,Petrol,Automatic,3,1730
Car,Repair,8,109407,EV,Automatic,15,13510
Bike,Major,3,27895,Petrol,Automatic,5,2120
SUV,Major,3,48407,Petrol,Manual,3,14280
Car,Major,2,32483,Petrol,Manual,2,12810
SUV,Major,3,50106,Diesel,Automatic,4,18010
Car,Repair,9,103850,Diesel,Manual,15,14770
SUV,Repair,2,29815,Petrol,Automatic,3,17660
Bike,Major,3,26324,Petrol,Manual,3,1750
Car,General,4,35996,Diesel,Manual,5,5160
Bike,Major,3,24723,Petrol,Manual,4,2560
Electric Scooter,General,1,8200,EV,Automatic,1,550
SUV,Major,4,64179,Diesel,Manual,7,17840
SUV,General,9,109712,Petrol,Automatic,17,9640
Car,Major,9,95056,Petrol,Manual,13,15410
Bike,Repair,3,21786,Petrol,Manual,4,2650
Car,General,8,90119,Petrol,Manual,9,4250
Bike,General,3,26066,Petrol,Manual,5,960
SUV,Major,5,78569,Petrol,Automatic,8,21070
Scooty,General,9,59797,Petrol,Automatic,16,760
Bike,Major,3,23435,Petrol,Manual,4,2340
Bike,Major,6,38444,Petrol,Manual,10,2650
SUV,General,8,118103,Hybrid,Manual,15,7300
Car,General,4,38515,Diesel,Automatic,6,7650
SUV,General,7,76558,Diesel,Automatic,11,10090
Car,Major,4,48287,Diesel,Automatic,7,13320
Car,Major,2,22335,Petrol,Automatic,3,13570
Electric Scooter,Major,1,9767,EV,Automatic,1,1890
Car,General,7,102893,Petrol,Manual,10,4720
Scooty,General,4,28905,Petrol,Automatic,7,730
Car,Major,6,81077,Petrol,Automatic,9,16080
Car,Repair,9,96632,Diesel,Manual,10,15460
SUV,General,2,37256,Diesel,Automatic,3,10120
Bike,General,13,126929,Petrol,Automatic,24,1160
Car,General,3,37854,Petrol,Automatic,3,5300
Bike,General,5,38531,Petrol,Manual,6,1200
SUV,General,3,58491,Petrol,Manual,5,5480
Car,Major,4,54685,Petrol,Automatic,5,12780
Car,General,11,157114,Petrol,Manual,16,5380
Car,Major,3,41651,Diesel,Automatic,5,18530
Car,General,11,97180,Petrol,Manual,15,5490
Scooty,General,2,12866,Petrol,Automatic,2,550
SUV,General,6,91541,Diesel,Manual,11,10980
Car,Repair,7,85486,Petrol,Manual,9,18520
Bike,General,5,46291,Petrol,Manual,6,740
SUV,General,3,36789,Petrol,Manual,5,5520
Car,General,2,31404,Petrol,Manual,3,2910
Car,Major,10,84772,Diesel,Automatic,14,14900
Electric Scooter,Major,3,17729,EV,Automatic,5,1730
Car,Repair,2,22212,Petrol,Manual,2,10920
Scooty,General,6,39810,Petrol,Automatic,7,900
Car,Major,6,69199,Petrol,Manual,8,13880
Car,General,2,26806,Petrol,Automatic,3,3660
Car,General,12,146644,Petrol,Automatic,15,5510
SUV,General,5,63817,Petrol,Automatic,6,7610
SUV,Major,5,94826,Petrol,Automatic,6,20840
Bike,Major,10,64499,Petrol,Automatic,18,4050
Electric Scooter,Repair,2,13998,EV,Automatic,3,1710
Electric Bike,Major,2,18567,EV,Automatic,3,1510
Bike,General,2,9910,Petrol,Manual,2,840
Bike,Repair,2,18072,Petrol,Manual,2,2420
Electric Bike,Repair,1,9164,EV,Automatic,1,1950
SUV,Repair,4,49883,Hybrid,Manual,5,22590
Bike,General,4,30393,Petrol,Automatic,6,620
Car,General,6,73056,Diesel,Manual,7,5920
Car,General,7,90955,Petrol,Manual,10,5390
SUV,General,9,137669,Hybrid,Manual,17,9600
Car,General,7,75764,Petrol,Automatic,9,5510
Car,General,7,113039,Petrol,Manual,12,5220
Car,General,10,163502,Diesel,Manual,19,4750
Bike,General,3,24485,Petrol,Manual,5,830
Car,General,7,100162,Petrol,Manual,12,4270
SUV,Major,7,74571,Diesel,Manual,10,23300
Car,General,5,82499,Hybrid,Manual,7,4460
Car,Major,13,112594,Diesel,Manual,22,19320
SUV,General,2,33823,Diesel,Manual,3,6190
Bike,Major,2,12596,Petrol,Manual,3,2330
Bike,General,7,55631,Petrol,Manual,10,630
SUV,Repair,6,87438,Petrol,Automatic,10,29450
Car,General,1,15328,Petrol,Automatic,1,3900
SUV,Major,4,51276,Diesel,Manual,6,24720
Bike,General,3,13589,Petrol,Manual,5,960
Car,General,9,124565,Diesel,Manual,16,6140
Car,General,5,61088,Diesel,Manual,6,5620
Bike,Major,7,54332,Petrol,Manual,11,1750
Car,Major,1,18251,Petrol,Automatic,1,9080
Scooty,Major,5,39097,Petrol,Automatic,9,1620
Bike,Major,4,26002,Petrol,Manual,7,2920
Scooty,Major,10,74061,Petrol,Automatic,16,1800
Bike,General,13,100345,Petrol,Manual,24,1160
Electric Scooter,General,1,7111,EV,Automatic,1,580
SUV,General,12,149465,Petrol,Automatic,19,9560
Bike,Major,3,23955,Petrol,Manual,4,2110
Bike,Major,9,81396,Petrol,Manual,14,3330
Electric Scooter,Major,1,6315,EV,Automatic,1,1200
Car,General,2,24177,Petrol,Manual,3,3710
SUV,General,6,71040,Diesel,Manual,11,8550
Electric Scooter,General,2,15382,EV,Automatic,3,460
Scooty,Major,1,8347,Petrol,Automatic,1,1640
SUV,General,5,84474,Diesel,Automatic,9,10490
Car,General,7,96583,EV,Automatic,9,4680
Bike,Repair,5,40719,Petrol,Manual,7,2620
SUV,General,3,35294,Diesel,Manual,4,7340
Car,General,4,59508,Diesel,Automatic,7,6800
SUV,Repair,10,105947,Diesel,Manual,12,47060
Car,Major,10,120646,Diesel,Manual,19,13650
SUV,Major,7,125320,Diesel,Manual,11,28940
Bike,Major,10,65102,Petrol,Automatic,17,2490
SUV,General,7,98684,Diesel,Manual,11,6780
Electric Scooter,Major,3,14658,EV,Automatic,5,2030
Bike,Major,5,35021,Petrol,Manual,8,2720
Car,General,13,191156,Diesel,Manual,15,6530
Bike,Repair,9,70530,Petrol,Manual,11,4070
Bike,Major,2,16270,Petrol,Manual,2,2360
Car,Major,7,86780,EV,Automatic,10,10860
Bike,General,8,64596,Petrol,Manual,12,630
Bike,General,10,54649,Petrol,Manual,18,850
Car,General,3,42266,Petrol,Manual,4,5040
Car,General,2,33486,Petrol,Manual,2,3150
Car,General,5,65686,Petrol,Manual,8,4070
Car,General,10,87109,Diesel,Manual,16,7570
SUV,General,3,50588,Diesel,Manual,5,6950
Car,Major,3,32298,Petrol,Automatic,3,13370
Car,General,4,43794,Petrol,Manual,5,5110
Scooty,General,12,66555,Petrol,Automatic,16,550
Car,General,9,98483,Petrol,Automatic,12,6000
Electric Scooter,Major,3,21932,EV,Automatic,5,1080
Scooty,General,11,69958,Petrol,Automatic,19,690
Electric Bike,Major,2,18776,EV,Automatic,3,1490
Car,Repair,15,126721,Diesel,Manual,21,21500
Bike,Major,12,68222,Petrol,Manual,17,3730
Scooty,General,12,48289,Petrol,Automatic,15,680
Bike,Major,3,29116,Petrol,Manual,4,1480
SUV,Major,5,65045,Diesel,Automatic,8,21220
Bike,General,5,49829,Petrol,Manual,7,630
Electric Scooter,Major,1,7328,EV,Automatic,1,1580
Scooty,Repair,8,55969,Petrol,Automatic,11,3370
SUV,General,3,39335,Petrol,Automatic,4,8240
Car,Major,8,106566,Petrol,Manual,11,16700
Scooty,General,4,21778,Petrol,Automatic,4,900
Car,General,15,207355,Diesel,Manual,29,6090
SUV,General,8,82432,Diesel,Manual,10,11570
Electric Scooter,General,2,13697,EV,Automatic,3,730
Electric Scooter,General,1,5246,EV,Automatic,1,490
Car,Major,9,88608,Petrol,Manual,13,12920
SUV,General,5,52724,Diesel,Automatic,7,9920
Car,General,10,125309,Hybrid,Automatic,18,6510
Scooty,General,7,51207,Petrol,Automatic,9,560
Car,Major,5,69601,Petrol,Manual,8,13850
Bike,Major,6,46793,Petrol,Manual,11,2600
Bike,Major,5,46566,Petrol,Manual,6,2670
Scooty,Major,1,7999,Petrol,Automatic,1,2090
SUV,Major,7,71917,Hybrid,Manual,12,23090
SUV,General,11,185939,Diesel,Manual,18,9060
Car,Major,10,128013,Diesel,Manual,16,13020
SUV,General,8,130799,Diesel,Manual,14,8310
Car,Major,4,52080,Diesel,Manual,7,13690
SUV,Repair,4,56545,EV,Automatic,5,19820
Car,General,10,130225,Petrol,Manual,18,4440
Bike,Repair,0,2377,Petrol,Manual,0,1720
Electric Scooter,Major,1,9144,EV,Automatic,1,1400
Car,Major,10,120332,Petrol,Manual,16,16510
Bike,Major,6,37622,Petrol,Manual,11,3030
SUV,General,3,47419,Petrol,Manual,5,8230
Scooty,General,7,53799,Petrol,Automatic,12,620
Bike,General,6,55193,Petrol,Manual,10,1150
SUV,General,6,77981,Diesel,Manual,11,8710
Bike,General,6,43038,Petrol,Manual,11,630
Scooty,Repair,7,39800,Petrol,Automatic,10,3110
Scooty,General,3,23621,Petrol,Automatic,5,770
SUV,Major,6,99058,Petrol,Manual,9,18400
Car,General,2,16156,Petrol,Manual,3,5100
Car,General,0,1034,Petrol,Automatic,0,4450
Bike,Repair,8,48682,Petrol,Manual,10,3310
Bike,Repair,4,25368,Petrol,Manual,7,3270
Car,General,2,30742,Petrol,Manual,3,4760
SUV,General,5,83841,Petrol,Automatic,9,9070
Car,General,5,44040,Diesel,Manual,8,5770
Bike,General,9,82432,Petrol,Manual,13,1080
Car,General,2,27007,Petrol,Manual,3,3850
Electric Scooter,General,1,7871,EV,Automatic,1,360
SUV,General,3,45843,Petrol,Manual,5,4870
Car,General,10,127351,Petrol,Manual,14,5340
Electric Bike,General,2,10338,EV,Automatic,3,610
Car,Repair,8,81567,Diesel,Automatic,11,18330
Bike,General,10,72882,Petrol,Manual,13,1060
Car,Repair,3,45039,Petrol,Manual,5,10240
Car,General,4,61572,Diesel,Automatic,7,6830
Car,General,4,54345,Petrol,Automatic,7,5030
SUV,General,2,18041,Diesel,Automatic,2,10910
Car,General,11,106984,Petrol,Manual,17,4670
Bike,General,13,83742,Petrol,Automatic,19,1060
Car,General,2,28460,Petrol,Manual,3,3210
Scooty,General,11,43413,Petrol,Automatic,15,660
SUV,Major,4,58831,Petrol,Manual,5,18120
Scooty,General,12,79890,Petrol,Automatic,22,900
Scooty,General,8,35733,Petrol,Automatic,11,850
Bike,General,3,24476,Petrol,Manual,4,870
Electric Scooter,Major,0,500,EV,Automatic,0,1440
Electric Scooter,Repair,0,500,EV,Automatic,0,740
Car,General,3,33935,Diesel,Manual,5,4110
Car,General,7,71445,Hybrid,Automatic,8,4850
Bike,General,5,33276,Petrol,Manual,9,630
SUV,General,2,42235,Diesel,Manual,3,7160
SUV,General,4,41716,Diesel,Manual,5,10320
SUV,Repair,5,60998,Petrol,Manual,8,15120
Bike,General,4,20262,Petrol,Manual,5,1060
Car,Repair,9,85031,EV,Automatic,16,16350
Bike,General,8,51136,Petrol,Manual,11,840
SUV,General,4,67666,EV,Automatic,7,4590
Scooty,Major,12,49929,Petrol,Automatic,20,1750
SUV,General,9,158977,Diesel,Automatic,15,9120
Car,General,4,56399,Petrol,Manual,5,4310
Bike,Major,6,42874,Petrol,Manual,9,2150
Car,Major,9,91689,Diesel,Automatic,13,17910
SUV,Major,6,107084,Petrol,Automatic,9,21590
Car,Major,8,94837,Diesel,Manual,11,19150
Bike,Major,2,20798,Petrol,Automatic,2,1580
SUV,Major,4,65360,Petrol,Manual,6,16010
SUV,General,2,30576,Diesel,Automatic,2,10070
SUV,General,4,76277,Diesel,Manual,5,9390
Car,General,4,57997,Petrol,Manual,6,4860
SUV,General,3,45574,Hybrid,Manual,5,7360
Car,General,5,78759,Diesel,Manual,8,5380
SUV,General,3,41955,Petrol,Manual,3,5210
Bike,General,7,50344,Petrol,Manual,10,660
Bike,Major,13,107320,Petrol,Manual,21,2510
SUV,General,10,104769,Petrol,Manual,12,7900
Electric Bike,Major,2,14740,EV,Automatic,2,1560
Car,Major,12,168874,Petrol,Manual,17,18310
Car,General,3,49109,Petrol,Manual,4,3310
SUV,General,11,192562,EV,Automatic,18,5030
Scooty,General,3,13312,Petrol,Automatic,4,710
SUV,General,5,84748,Diesel,Automatic,7,9000
Bike,Major,5,44292,Petrol,Manual,8,3470
SUV,General,13,257852,Diesel,Manual,15,13350
Car,General,3,29846,Petrol,Manual,5,3870
Scooty,Major,1,4382,Petrol,Automatic,1,1800
Car,General,11,164851,EV,Automatic,14,5720
SUV,Major,7,80036,Petrol,Automatic,12,22080
SUV,Repair,1,17289,Diesel,Manual,1,21710
Car,General,3,33296,EV,Automatic,4,3860
Car,Repair,3,35385,Petrol,Automatic,4,14850
Electric Bike,General,3,23421,EV,Automatic,3,690
Bike,Major,7,42660,Petrol,Automatic,11,2380
Bike,General,13,78317,Petrol,Manual,25,810
Car,Major,3,32328,EV,Automatic,5,7940
Car,General,13,135152,Petrol,Manual,16,4370
Car,Repair,7,69167,Hybrid,Manual,13,11850
Scooty,General,8,37186,Petrol,Automatic,14,920
Car,General,0,4192,Petrol,Automatic,0,4630
Electric Scooter,General,2,13319,EV,Automatic,2,540
Scooty,General,1,7221,Petrol,Automatic,1,560
SUV,General,8,85589,Diesel,Manual,13,10620
Bike,Repair,4,24102,Petrol,Manual,5,1770
SUV,General,7,97635,Petrol,Automatic,10,9620
Bike,General,7,52235,Petrol,Manual,10,1030
SUV,Repair,6,95447,Diesel,Automatic,11,33900
SUV,General,1,18305,Petrol,Automatic,1,6360
Car,General,3,35542,Petrol,Manual,3,4940
Electric Scooter,Major,2,10669,EV,Automatic,2,1690
Car,Major,3,50910,Hybrid,Manual,5,11360
SUV,General,2,31820,Petrol,Manual,3,5550
Car,General,4,39539,Petrol,Manual,5,4090
Car,Major,1,7520,Diesel,Manual,1,11310
Car,General,12,183867,Petrol,Manual,19,4280
Electric Scooter,General,1,7620,EV,Automatic,1,670
Car,Repair,1,13227,Petrol,Automatic,1,10130
SUV,Major,3,48280,Diesel,Manual,5,26750
Bike,Major,5,41465,Petrol,Manual,6,2420
SUV,Major,2,37129,Diesel,Manual,3,21080
SUV,Major,3,51545,Diesel,Automatic,4,23870
Car,General,3,40042,Hybrid,Manual,4,4990
Car,General,2,30921,Petrol,Manual,2,4190
SUV,General,12,142080,Petrol,Automatic,17,9700
SUV,General,9,139533,Diesel,Manual,15,7180
Bike,Major,3,17773,Petrol,Manual,4,2280
SUV,Repair,2,38298,Petrol,Automatic,3,21200
SUV,Repair,6,116427,Petrol,Automatic,8,21420
Scooty,General,7,32463,Petrol,Automatic,12,750
Scooty,Major,9,52141,Petrol,Automatic,16,3060
SUV,General,6,122717,Diesel,Manual,8,10830
Car,General,5,51446,Petrol,Manual,7,4410
Car,Major,5,41643,EV,Automatic,8,7660
Electric Bike,General,1,8597,EV,Automatic,1,600
Electric Scooter,General,2,13313,EV,Automatic,3,760
Car,Major,3,37011,Diesel,Automatic,5,13520
SUV,General,3,35733,Diesel,Manual,3,10620
SUV,Repair,8,123101,Petrol,Automatic,9,25130
SUV,Major,6,71213,Petrol,Manual,10,23910
Scooty,General,5,24366,Petrol,Automatic,7,830
Scooty,General,9,64470,Petrol,Automatic,13,810
Car,General,13,184670,Hybrid,Automatic,19,5610
Electric Scooter,Repair,1,5699,EV,Automatic,1,1440
SUV,Repair,3,36208,Petrol,Manual,4,20900
Bike,General,7,42382,Petrol,Manual,11,1160
Bike,Repair,3,21351,Petrol,Manual,5,1550
Bike,General,2,14812,Petrol,Manual,2,500
